10	6
15	160
0	1	0	2	0	1	0	2	0	1	0	2	0	1	0	2	3	4	5	4	6	7	0	3	0	8	9	9	8	0	9	8	3	4	5	4	6	7	0	3	3	4	5	4	6	7	0	3	3	4	5	4	6	7	0	3	3	4	5	4	6	7	0	3	3	4	5	4	6	7	0	0	8	9	9	8	0	9	10	11	10	3	4	5	4	6	7	0	3	3	4	5	4	6	10	11	10	11	3	4	5	4	6	7	0	3	3	4	5	4	6	7	3	4	5	4	6	7	0	3	3	4	5	4	6	7	0	3	0	8	8	9	12	13	13	12	12	13	13	12	3	4	5	4	3	4	5	4	6	7	0	0	8	9	9	8	0	9	10	11	
2	3	0	14	2	3	0	14	2	3	0	14	2	3	0	14	0	7	15	7	16	16	6	6	6	6	17	17	6	6	17	6	0	7	15	7	16	16	6	6	0	7	15	7	16	16	6	6	0	7	15	7	16	16	6	6	0	7	15	7	16	16	6	6	0	7	15	7	16	16	6	6	6	17	17	6	6	17	3	2	3	0	7	15	7	16	16	6	6	0	7	15	7	16	3	2	3	2	0	7	15	7	16	16	6	6	0	7	15	7	16	16	0	7	15	7	16	16	6	6	0	7	15	7	16	16	6	6	6	6	6	17	13	18	17	13	13	18	17	13	0	7	15	7	0	7	15	7	16	16	6	6	6	17	17	6	6	17	3	2	
14	0	6	0	14	0	6	0	14	6	0	0	14	0	6	0	6	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	6	16	16	16	16	19	16	16	6	16	16	19	16	16	16	16	6	16	16	16	16	16	16	16	6	16	16	16	16	16	16	16	6	16	16	16	16	16	16	16	16	16	16	16	16	16	2	20	2	2	16	16	16	16	16	16	16	6	16	16	16	16	2	20	2	20	6	16	16	16	16	16	16	16	6	16	16	16	16	16	6	16	16	16	16	16	16	16	6	16	16	16	16	16	16	16	16	16	16	16	18	13	18	18	18	13	18	18	6	16	16	16	6	16	16	16	16	16	16	16	16	16	16	16	16	16	2	20	
0	6	3	0	0	6	3	0	0	1	0	2	0	6	3	0	16	16	16	16	16	16	16	16	16	16	21	16	21	21	16	16	16	16	16	16	16	22	16	16	16	16	16	22	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	14	14	14	14	16	16	16	16	16	16	16	16	16	16	16	16	14	14	14	14	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	12	18	12	12	12	18	12	12	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	14	14	
0	1	0	2	0	1	0	2	2	3	0	14	0	1	0	2	16	16	16	16	16	16	16	16	16	16	0	1	0	2	16	16	16	16	16	16	16	23	24	16	16	16	24	23	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	26	26	27	16	16	16	16	16	16	16	16	16	16	16	16	25	26	26	27	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	12	13	13	12	12	13	13	12	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	26	
2	3	0	14	2	3	0	14	14	0	6	0	2	3	0	14	16	16	16	16	16	16	16	16	16	16	2	3	6	14	21	16	16	16	16	16	16	10	11	16	16	16	10	11	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	28	29	29	30	16	16	21	16	31	31	31	31	16	21	16	16	28	29	29	30	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	13	18	17	13	13	18	17	13	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	28	29	
14	0	6	0	14	6	0	0	0	6	3	0	14	0	6	0	16	16	16	16	16	16	16	16	16	16	14	0	1	0	2	16	16	16	16	16	16	3	2	16	16	16	3	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	32	29	29	33	16	16	6	17	34	34	34	34	17	6	16	16	32	29	29	33	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	18	13	18	18	18	13	18	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	32	29	
0	6	3	0	0	1	0	2	0	1	0	2	0	6	3	0	16	16	16	16	16	16	16	16	16	16	6	2	3	6	14	21	16	16	16	16	16	2	20	16	16	16	2	20	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	21	16	16	21	35	36	37	38	39	39	31	31	31	31	31	31	31	31	21	16	40	41	36	42	21	16	21	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	12	18	12	12	12	18	12	12	16	16	16	16	16	16	16	16	16	16	16	16	16	16	21	16	16	21	35	36	
0	1	0	2	2	3	0	14	2	3	0	14	0	1	0	2	16	16	16	16	16	16	16	16	16	16	16	14	0	1	0	2	16	16	16	16	16	14	14	16	16	16	14	14	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	6	1	1	6	10	11	12	13	13	12	34	34	34	34	34	34	34	34	0	1	0	2	10	11	6	1	6	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	12	13	13	12	12	13	13	12	16	16	16	16	16	16	16	16	16	16	16	16	16	16	6	1	1	6	10	11	
2	3	0	14	14	0	6	0	14	0	6	0	2	3	0	14	16	16	16	16	16	16	43	16	16	16	16	6	2	3	0	14	16	16	16	16	16	6	6	16	16	16	6	6	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	3	2	13	18	17	13	16	16	31	31	31	31	16	16	2	3	0	14	3	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	13	18	17	13	13	18	17	13	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	3	2	
