229

529	0	3840	48	512	32
152	2	3824	80	32	32
527	0	4064	80	64	32
153	0	3608	111	22	96
525	0	4064	112	64	32
523	0	4064	144	64	32
184	17	3996	162	16	32
183	17	3751	165	16	32
516	0	3616	176	64	32
132	4	3952	208	32	32
518	0	4008	176	176	32
512	0	3616	208	64	32
514	0	4064	208	64	32
500	0	3746	240	324	32
510	0	4064	240	64	32
496	0	3616	272	64	32
149	2	3760	272	32	32
498	0	4064	272	64	32
182	11	3856	289	32	64
493	0	3600	304	32	32
234	23	3792	304	32	32
494	0	4064	304	64	32
490	0	3600	336	32	32
491	0	4064	336	64	32
166	10	3677	349	32	32
185	17	3867	352	16	32
487	0	3600	368	32	32
147	23	3856	368	32	32
488	0	4064	368	64	32
475	0	1568	432	64	32
477	0	3056	432	96	32
480	0	3360	432	64	32
482	0	3568	432	96	32
146	22	3856	432	32	32
485	0	4064	432	64	32
463	0	1568	464	64	32
465	0	3056	464	96	32
468	0	3360	464	64	32
470	0	3568	464	96	32
473	0	4064	464	64	32
447	0	1568	496	64	32
449	0	3056	496	96	32
452	0	3360	496	64	32
454	0	3568	496	96	32
457	0	3776	496	128	32
461	0	4064	496	64	32
433	0	1568	528	64	32
435	0	3056	528	96	32
438	0	3360	528	64	32
440	0	3568	528	96	32
443	0	3808	528	64	32
445	0	4064	528	64	32
181	11	3728	544	32	64
414	0	1568	560	64	32
416	0	3056	560	96	32
419	0	3232	560	64	32
421	0	3360	560	64	32
423	0	3568	560	96	32
426	0	3680	560	64	32
428	0	3808	560	64	32
135	4	4016	592	32	32
430	0	4040	560	112	32
400	0	1568	592	64	32
402	0	3056	592	96	32
405	0	3360	592	64	32
407	0	3568	592	96	32
410	0	3808	592	64	32
412	0	4064	592	64	32
334	0	1824	624	576	32
352	0	2656	624	960	32
382	0	3328	624	128	32
386	0	3552	624	192	32
392	0	3872	624	192	32
398	0	4064	624	64	32
162	19	3174	630	64	16
330	0	1568	656	64	32
332	0	4064	656	64	32
179	11	1967	671	32	64
180	11	3343	671	32	64
200	17	2075	677	16	32
202	17	1817	682	16	32
